,DATE,COUNTRY,PROVINCE,DISTRICT,MUNICIPALITY,TOWN,FEEDBACK CHANNEL,SEX,AGE RANGE,Other DIVERSITY factors,LANGUAGE,FEEDBACK COMMENT,TRANSLATED FEEDBACK COMMENT,NUMBER OF TIMES,FEEDBACK TYPE,CATEGORY,CODE,SENSITIVITY,CRITICALITY,OPERATION,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
62,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,There are no windows and there's no electricity maybe heaters could help,There are no windows and there's no electricity maybe heaters could help,2,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
63,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,They don't even get hot meals on time they having one meal a day,They don't even get hot meals on time they having one meal a day,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
64,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Durban,eTshelimnyama,Other,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,"Would really appreciate a new home as we are placed here, though we are cold.","Would really appreciate a new home as we are placed here, though we are cold.",4,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,,Flood,,,,,,,
65,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Durban,eTshelimnyama,Other,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,"We really greatful, we are able to get all our essentials even psychological help","We really greatful, we are able to get all our essentials even psychological help",4,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Non-sensitive,Action_needs_to_be_taken,Flood,,,,,,,
66,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Durban,eTshelimnyama,Other,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,Blankets is what we lacking and would really appreciate,Blankets is what we lacking and would really appreciate,4,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
67,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Durban,eTshelimnyama,Other,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,How long will be displaced in the hall as it not nice staying here,How long will be displaced in the hall as it not nice staying here,4,Questions,Questions_that_reveal_mistrust_or_suspicion_about_people_or_institutions,Questions that reveal mistrust or suspicion about people or institutions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
68,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncayane,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is no electricity,There is no electricity,5,Suggestions_Requests,Suggestion_to_improve_services,Suggestions to improve other services,Sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
69,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncayane,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The windows are broken,The windows are broken,6,Suggestions_Requests,Suggestion_to_improve_services,Suggestions to improve other services,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
70,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncayane,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is a shortage of sponges and blankets,There is a shortage of sponges and blankets,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
71,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncayane,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is a shortage of toiletries,There is a shortage of toiletries,8,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
72,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Etshelimnyama,Tshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,Is everyone going to get help internet of repairs houses,Is everyone going to get help internet of repairs houses,1,Questions,Questions_about_scope_scale_of_disaster,Questions about how long the disease outbreak may last,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
73,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The department of home affairs has began a process of making  ID cards,The department of home affairs has began a process of making  ID cards,10,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
74,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,There's no baby formula and they have been addressing it and there's no change the baby is 3 months and the baby is getting sick because of the environment,There's no baby formula and they have been addressing it and there's no change the baby is 3 months and the baby is getting sick because of the environment,6,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
75,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,She needs a one room house because the place is not healthy because of the crowded place,She needs a one room house because the place is not healthy because of the crowded place,2,Observation_Perception_Or_Belief,Belief_or_perception_about_the_disease,Other belief about the disease,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
76,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Etshelimnyama,Etshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,To have peson who will lead in ensuring that even those living with neighbour's at this time to get help and be provided with food,To have peson who will lead in ensuring that even those living with neighbour's at this time to get help and be provided with food,4,Suggestions_Requests,Other_requests_or_suggestions,Other requests or suggestions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
77,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Etshelimnyama,Etshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,To ensure that there is someone who will ensure that in the halls everyone benefit and even those who live with neighbour's to be accomodated,To ensure that there is someone who will ensure that in the halls everyone benefit and even those who live with neighbour's to be accomodated,5,Suggestions_Requests,Other_requests_or_suggestions,Other requests or suggestions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
78,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Intshelimnyama,,Female,Mixed,Mixed,isiZulu,There's no bathing soup and washing some they use for their own personal purpose,There's no bathing soup and washing some they use for their own personal purpose,2,Suggestions_Requests,Request_for_information,Request for information about programme activity,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
79,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Intshelimnyama,,Female,Mixed,Mixed,isiZulu,There's no privacy especially for woman so some they are accusing them for seducing them,There's no privacy especially for woman so some they are accusing them for seducing them,1,Observation_Perception_Or_Belief,Observation_perception_belief_about_community_behaviour,Observations of non-compliance with protective behaviours,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
80,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Intshelimnyama,,Female,Mixed,Mixed,isiZulu,They are being controlled about what they are wearing even night dresses they shouldn't wear them,They are being controlled about what they are wearing even night dresses they shouldn't wear them,3,Observation_Perception_Or_Belief,Observation_perception_belief_about_community_behaviour,Observations of non-compliance with protective behaviours,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
81,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Intshelimnyama,,Female,Mixed,Mixed,isiZulu,There's a shortage of blankets and maybe donors can provide with heaters because now winter is approaching,There's a shortage of blankets and maybe donors can provide with heaters because now winter is approaching,2,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
82,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Intshelimnyama,,Female,Mixed,Mixed,isiZulu,Shortage of diapers and kids above two years they don't give them diapers because they assume they old enough to control themselves so provision of diapers is needed,Shortage of diapers and kids above two years they don't give them diapers because they assume they old enough to control themselves so provision of diapers is needed,7,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
83,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (itshelimnyama),Structured interview,Mixed,Adults_18_59_Years_Old,Underlying_Illness Mixed,isiZulu,"When are we leaving here, because is painful","When are we leaving here, because is painful",1,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
84,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (itshelimnyama),Structured interview,Mixed,Adults_18_59_Years_Old,Underlying_Illness Mixed,isiZulu,I just want to leave because we don't have privacy,I just want to leave because we don't have privacy,1,Suggestions_Requests,Request_for_information,Request for information about programme activity,To_be_clarified,Action_needs_to_be_taken,Flood,,,,,,,
85,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown shelter (itshelimnyama),Key informant interview,Female,Mixed,Underlying_Illness Other,isiZulu,We suggest that next time do not come with forms with emblems as that might dent your name,We suggest that next time do not come with forms with emblems as that might dent your name,3,Suggestions_Requests,Suggestion_to_improve_services,Suggestions to improve other RCRC services,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
86,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown shelter (itshelimnyama),Key informant interview,Female,Mixed,Underlying_Illness Other,isiZulu,"After organisation leave disaster relief things such as food, hygiene pack people who are supposed to get they don't get.","After organisation leave disaster relief things such as food, hygiene pack people who are supposed to get they don't get.",3,Report,Allegations_of_misconduct,Allegations of misconduct,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
87,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown shelter (itshelimnyama),Key informant interview,Female,Mixed,Underlying_Illness Other,isiZulu,When are they removing us here. We are not safe.,When are they removing us here. We are not safe.,2,Questions,Other_questions,Other questions,Sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
88,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Itshelimnyama,Field Monitoring,Female,Adults_18_59_Years_Old,Underlying_Illness Other,isiZulu,when are we leaving hear here. I,when are we leaving hear here. I,5,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
89,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Itshelimnyama,Field Monitoring,Female,Adults_18_59_Years_Old,Underlying_Illness Other,isiZulu,What are you working with as redcross,What are you working with as redcross,1,Questions,Other_questions,Other questions,To_be_clarified,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
90,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Itshelimnyama,Field Monitoring,Female,Adults_18_59_Years_Old,Underlying_Illness Other,isiZulu,We want a place to stay and food,We want a place to stay and food,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
91,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Itshelimnyama,Field Monitoring,Female,Adults_18_59_Years_Old,Underlying_Illness Other,isiZulu,According me the municipal is doing nothing to remove us,According me the municipal is doing nothing to remove us,1,Observation_Perception_Or_Belief,Appreciation_of_response_actors,Appreciation of response actors,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
92,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,Their houses to be repaired,Their houses to be repaired,4,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
93,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,To get food that will accommodate everyone and those that sleep on their relatives,To get food that will accommodate everyone and those that sleep on their relatives,6,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
94,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,They were told that their are going to get o(Lindile) houses,They were told that their are going to get o(Lindile) houses,5,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
95,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,They were promised materials during 2019 floods till 2022 and nothing has happened and they have been hitted by another floods on 2022 and there is no one who has come and tell them about a way forward,They were promised materials during 2019 floods till 2022 and nothing has happened and they have been hitted by another floods on 2022 and there is no one who has come and tell them about a way forward,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
96,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The vouchers which they were promised they did not them,The vouchers which they were promised they did not them,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
97,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The councilor is not attending the issues,The councilor is not attending the issues,7,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
98,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is no privacy,There is no privacy,12,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
99,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,They request places to rebuild their houses because they when they move them they put the on shacks,They request places to rebuild their houses because they when they move them they put the on shacks,12,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
100,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is a shortageness of bathing soaps,There is a shortageness of bathing soaps,5,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,To_be_clarified,Flood,,,,,,,
101,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,"The different organisations helps them alot with immediate relief like sponges, foods, blankets etc","The different organisations helps them alot with immediate relief like sponges, foods, blankets etc",10,Encouragement_Praise,Encouragement_to_continue_the_work,Encouragement to continue the work,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
102,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The mobile clinics are helping alot,The mobile clinics are helping alot,8,Encouragement_Praise,Encouragement_to_continue_the_work,Encouragement to continue the work,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
103,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,What does Red cross is bringing or providing to them,What does Red cross is bringing or providing to them,1,Questions,Other_questions,Other questions,To_be_clarified,To_be_clarified,Flood,,,,,,,
104,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,They want Red cross to put pressure on rebuilding houses,They want Red cross to put pressure on rebuilding houses,3,Other,Interrupted_interaction,Interrupted interaction,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
105,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,Other bodies have not been found due to lack of search and rescue they do not search properly,Other bodies have not been found due to lack of search and rescue they do not search properly,7,Report,Other_report,Other report,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
106,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Dabe,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,When is Red cross coming back to address regarding the issues,When is Red cross coming back to address regarding the issues,4,Questions,Other_questions,Other questions,To_be_clarified,To_be_clarified,Flood,,,,,,,
107,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Elderly_60_Years_And_Older,Women,isiZulu,Are we going to get new houses from Red Cross,Are we going to get new houses from Red Cross,1,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
108,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,Suggest that there should be someone ensuring that everyone even those from work their food is kept safe,Suggest that there should be someone ensuring that everyone even those from work their food is kept safe,4,Suggestions_Requests,Suggestion_to_improve_services,Suggestions to improve other services,Non-sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
109,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,Is people that rents be provided with proper houses,Is people that rents be provided with proper houses,1,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
110,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama,Structured interview,Female,Elderly_60_Years_And_Older,Women,isiZulu,Will people affected be provided new houses,Will people affected be provided new houses,3,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
111,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama ward 15,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,All different stakeholders intervened and they received help,All different stakeholders intervened and they received help,3,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
112,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Tshelimnyama ward 15,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,When is Red Cross coming back to check situation,When is Red Cross coming back to check situation,1,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
113,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Household visit,Mixed,Adults_18_59_Years_Old,Ethnic_Minority Women Mixed,isiXhosa,Most people are embarrassed because they are gay and lesbian,Most people are embarrassed because they are gay and lesbian,2,Report,Allegations_of_misconduct,Allegations of misconduct,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
114,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,"They brought food, clothes, blankets, matras","They brought food, clothes, blankets, matras",1,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
115,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,Doctors came for emergency assistance,Doctors came for emergency assistance,2,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of response actors,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
116,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,"As we are here, what are we going to do to help them","As we are here, what are we going to do to help them",2,Questions,Questions_that_reveal_mistrust_or_suspicion_about_people_or_institutions,Questions that reveal mistrust or suspicion about people or institutions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
117,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,Do you cater children's for food,Do you cater children's for food,1,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
118,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,"They need food for children's because there are many children's here that need helps, need baby formula, nappies","They need food for children's because there are many children's here that need helps, need baby formula, nappies",1,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
119,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,"Need toiletries like Vaseline, lotion, soaps, they wash with green soaps for child's","Need toiletries like Vaseline, lotion, soaps, they wash with green soaps for child's",1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
120,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Female,Adults_18_59_Years_Old,Women,english,"She came without clothes but they got help, they got toothbrushes and bath soap, sponges and blankets","She came without clothes but they got help, they got toothbrushes and bath soap, sponges and blankets",2,Encouragement_Praise,Appreciation_of_activities_services,Appreciation of activities services,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
121,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Pinetown,Marianridge Hall,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,The interviewee mentioned that she is used to be I'll tread since she is the African black person when they are displayed in community halls,The interviewee mentioned that she is used to be I'll tread since she is the African black person when they are displayed in community halls,3,Other,Abusive_interaction,Abusive interaction,To_be_clarified,Action_needs_to_be_taken,Flood,,,,,,,
122,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Pinetown,Marianridge Hall,Structured interview,Female,Adults_18_59_Years_Old,Women,isiZulu,"Some of the client she asked that since she is the student at UNISA, is there any possible way to resubmit her assignments since all of them has been flooded.","Some of the client she asked that since she is the student at UNISA, is there any possible way to resubmit her assignments since all of them has been flooded.",1,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
123,2022-05-11,ZAF,KwaZulu-Natal,Ethekwini,Marianridge,Marianridge,Structured interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,House repairs because they are not happy to these vacation centres,House repairs because they are not happy to these vacation centres,4,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
124,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We need houses,We need houses,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
125,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We need temporal structures,We need temporal structures,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,Action_needs_to_be_taken,Flood,,,,,,,
126,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We eat once a day,We eat once a day,20,Suggestions_Requests,Request_for_information,Request for information about programme activity,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
127,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We don’t get relief material provided,We don’t get relief material provided,10,Report,Other_report,Other report,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
128,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We need male clothes,We need male clothes,16,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
129,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,Building material for partially damaged house,Building material for partially damaged house,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,,Flood,,,,,,,
130,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,Priority needs to be given to people displaced in the clinics,Priority needs to be given to people displaced in the clinics,7,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
131,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,Blankets and mattresses we have,Blankets and mattresses we have,1,Encouragement_Praise,Appreciation_of_activities_services,Appreciation of activities services,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
132,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,More blankets are needed because it’s cold,More blankets are needed because it’s cold,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,Action_needs_to_be_taken,Flood,,,,,,,
133,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Marian ridge,Community meeting,Mixed,Adults_18_59_Years_Old,Physical_Disability Ethnic_Minority Women,isiZulu,We need psychological support,We need psychological support,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
